subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10036,对外经济贸易大学,207,618,2176,012,金融学类,620,2011,624.0,,6,历,,金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学,38,38,,,9
历史,10036,对外经济贸易大学,207,618,2176,015,供应链管理,619,2131,621.0,,2,历,,双学士学位项目,38,38,,,9
历史,10036,对外经济贸易大学,207,618,2176,020,国际经济发展合作,619,2131,619.0,,1,历,,,38,38,,,9
历史,10036,对外经济贸易大学,207,618,2176,016,工商管理类,618,2245,623.0,,11,历,,工商管理、市场营销、会计学、会计学(北邮金科联合学士学位培养项目)、财务管理、人力资源管理,38,38,,,9
历史,10036,对外经济贸易大学,207,618,2176,018,外国语言文学类,618,2245,619.0,,3,历,,商务英语(含与金融学、法学、会计学双学士学位项目)、翻译(含与金融学、法学、会计学双学士学位项目)、英语(含与金融学、法学、会计学双学士学位项目),38,38,,,9
历史,10561,华南理工大学,211,615,2478,032,法学(卓越法律班),627,1296,,,15,历,,,220,220,,,9
历史,10561,华南理工大学,211,615,2478,034,经济学(创新班),626,1410,,,5,历,,,220,220,,,9
历史,10561,华南理工大学,211,615,2478,033,法学类,620,1985,,,42,历,,法学、知识产权,220,220,,,9
历史,10561,华南理工大学,211,615,2478,028,会计学,617,2290,,,25,历,,,220,220,,,9
历史,10561,华南理工大学,211,615,2478,035,经济学类,616,2410,,,62,历,,经济学、金融学,220,220,,,9
历史,10561,华南理工大学,211,615,2478,030,商务英语,616,2434,,,10,历,,,220,220,,,9
历史,10561,华南理工大学,211,615,2478,031,新闻传播学类,616,2442,,,30,历,,新闻学、传播学、广告学,220,220,,,9
历史,10561,华南理工大学,211,615,2478,029,行政管理,616,2468,,,8,历,,,220,220,,,9
历史,10561,华南理工大学,211,615,2478,027,工商管理类,615,2478,,,23,历,,工商管理、财务管理,220,220,,,9
历史,10019,中国农业大学,205,614,2725,013,工商管理类,615,2597,620.0,,2,历,,工商管理、会计学、大数据管理与应用,8,8,,,2
历史,10019,中国农业大学,205,614,2725,006,经济学类,614,2753,618.0,,6,历,,国际经济与贸易、金融学、农林经济管理,8,8,,,2
历史,10019,中国农业大学,206,596,6000,007,国际经济与贸易(中外合作办学),600,5295,602.0,,2,历,,中外合作,6,6,,中外合作,3
历史,10019,中国农业大学,206,596,6000,009,农林经济管理(中外合作办学),597,5980,598.0,,2,历,,中外合作,6,6,,中外合作,3
历史,10019,中国农业大学,206,596,6000,008,传播学(中外合作办学),596,6223,598.0,,2,历,,中外合作,6,6,,中外合作,3
历史,10019,中国农业大学,209,605,4208,010,市场营销,607,3854,609.0,,3,历,,,7,7,,,3
历史,10019,中国农业大学,209,605,4208,011,公共事业管理,605,4235,608.0,,2,历,,,7,7,,,3
历史,10019,中国农业大学,209,605,4208,012,电子商务,605,4235,605.0,,2,历,,,7,7,,,3
